review,sentiment_label,sentiment_score,identified_theme
Masha alla,negative,0.9514626860618591,"app, good, good app, nice, cbe"
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,0.9991102814674377,"app, good, good app, nice, cbe"
better service,positive,0.9982219338417053,"app, good, good app, nice, cbe"
"it,s good app and time manager 👍",positive,0.9998370409011841,"app, good, good app, nice, cbe"
malkaamuu Jiidhaa Namoo,negative,0.9887813329696655,"app, good, good app, nice, cbe"
lower system everything,negative,0.9993475079536438,"app, good, good app, nice, cbe"
Nice!,positive,0.999863862991333,"app, good, good app, nice, cbe"
Keep it up My CBE,positive,0.9996104836463928,"app, good, good app, nice, cbe"
yes good,positive,0.9998410940170288,"app, good, good app, nice, cbe"
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,0.9996353387832642,"app, good, good app, nice, cbe"
i like everything of this app,positive,0.9996908903121948,"like, like app, app, add, የምንፈልገዉ ነገር"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
🤬🤬🤬🤬 network 🛜,negative,0.685613214969635,"app, good, good app, nice, cbe"
Best,positive,0.9997941851615906,"app, good, good app, nice, cbe"
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,positive,0.9982792139053345,"app, good, good app, nice, cbe"
nice,positive,0.9998552799224854,"app, good, good app, nice, cbe"
good job,positive,0.999835729598999,"app, good, good app, nice, cbe"
Good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
it's awesome!!,positive,0.999871015548706,"app, good, good app, nice, cbe"
best,positive,0.9997941851615906,"app, good, good app, nice, cbe"
thankyou every one,positive,0.9998461008071899,"app, good, good app, nice, cbe"
best app,positive,0.999686598777771,"app, good, good app, nice, cbe"
Ronaldo 🇵🇹 🥇,positive,0.9948286414146423,"app, good, good app, nice, cbe"
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",positive,0.9998852014541626,"app, good, good app, nice, cbe"
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",negative,0.9997394680976868,"app, good, good app, nice, cbe"
mortuary app,negative,0.7924914956092834,"app, good, good app, nice, cbe"
it is smart app but it has stoped after some period of time on my device with out any reason .,negative,0.9961044788360596,"app, good, good app, nice, cbe"
amazing app I am used this app for one year,positive,0.9991408586502075,"app, good, good app, nice, cbe"
👍,negative,0.6970565915107727,"app, good, good app, nice, cbe"
good app,positive,0.9998493194580078,"app, good, good app, nice, cbe"
i love it 😍😘,positive,0.9998791217803955,"app, good, good app, nice, cbe"
It makes life easy!👌,positive,0.9993600249290466,"app, good, good app, nice, cbe"
its not fast,negative,0.9949808716773987,"app, good, good app, nice, cbe"
wow,positive,0.999592125415802,"app, good, good app, nice, cbe"
it is sooo good,positive,0.9998735189437866,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
excellent,positive,0.9998434782028198,"excellent, excellent app, excellent service, app, service"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
Fantastic,positive,0.9998743534088135,"app, good, good app, nice, cbe"
accessible to using,positive,0.999116837978363,"app, good, good app, nice, cbe"
I like it,positive,0.9998593330383301,"like, like app, app, add, የምንፈልገዉ ነገር"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
why you change default network?,negative,0.9962357878684998,"app, good, good app, nice, cbe"
very nice 👍,positive,0.9998577833175659,"app, good, good app, nice, cbe"
nice fast app,positive,0.999833345413208,"app, good, good app, nice, cbe"
best,positive,0.9997941851615906,"app, good, good app, nice, cbe"
how to I get my money,negative,0.9934091567993164,"app, good, good app, nice, cbe"
"Very bad, can't even load they need to improve their services.",negative,0.9998165965080261,"app, good, good app, nice, cbe"
"Very good app, but please make it reliable . it crashes sometimes .",positive,0.9649853706359863,"app, good, good app, nice, cbe"
very busy I don't know why... I prefer 889,negative,0.9991938471794128,"app, good, good app, nice, cbe"
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",negative,0.9966771602630615,"app, good, good app, nice, cbe"
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,negative,0.9986202716827393,"app, good, good app, nice, cbe"
hojii bonsaadha,positive,0.9568661451339722,"app, good, good app, nice, cbe"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
user-friendly apps.because this app is easy.,positive,0.955450713634491,"app, good, good app, nice, cbe"
Awosome!!!,positive,0.6944916844367981,"app, good, good app, nice, cbe"
"Very good app,",positive,0.9998691082000732,"app, good, good app, nice, cbe"
sync problem may 22 2025 but the date stack on may 8 2025 help pls,negative,0.992516815662384,"app, good, good app, nice, cbe"
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,positive,0.9997020363807678,"app, good, good app, nice, cbe"
I hate this app 😒,negative,0.9996378421783447,"app, good, good app, nice, cbe"
trustful,positive,0.9998213648796082,"app, good, good app, nice, cbe"
I like,positive,0.9998149275779724,"like, like app, app, add, የምንፈልገዉ ነገር"
update issue,positive,0.5473260283470154,"app, good, good app, nice, cbe"
its not working over safari network,negative,0.9991377592086792,"app, good, good app, nice, cbe"
oldie,negative,0.6663177013397217,"app, good, good app, nice, cbe"
it doesn't work,negative,0.9997813105583191,"app, good, good app, nice, cbe"
best,positive,0.9997941851615906,"app, good, good app, nice, cbe"
"This app is good, and we are using it well",positive,0.999855637550354,"app, good, good app, nice, cbe"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
best app,positive,0.999686598777771,"app, good, good app, nice, cbe"
very nice 👌 app for android phone,positive,0.9994401335716248,"app, good, good app, nice, cbe"
good app,positive,0.9998493194580078,"app, good, good app, nice, cbe"
Yes Yes,positive,0.9997482895851135,"app, good, good app, nice, cbe"
በጣም ከርፋፋ,negative,0.7850590348243713,"app, good, good app, nice, cbe"
easy to use helpful in my life,positive,0.9981144666671753,"app, good, good app, nice, cbe"
good 👍,positive,0.9998576641082764,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
the best mobile banking app,positive,0.9998278617858887,"app, good, good app, nice, cbe"
"this app is very useful app,it saves time,and it is secure",positive,0.9992597699165344,"app, good, good app, nice, cbe"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
it's a good application 👍,positive,0.9998123049736023,"app, good, good app, nice, cbe"
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,negative,0.9997513890266418,"app, good, good app, nice, cbe"
poor service,negative,0.9996534585952759,"app, good, good app, nice, cbe"
amazing,positive,0.999875545501709,"app, good, good app, nice, cbe"
it is reliable and easy to use.,positive,0.9998389482498169,"app, good, good app, nice, cbe"
the most annoying mobile banking app I've ever seen,negative,0.9994208812713623,"app, good, good app, nice, cbe"
Eliasmels,negative,0.5762405395507812,"app, good, good app, nice, cbe"
Cbe mobile banking,positive,0.8304281234741211,"app, good, good app, nice, cbe"
"i can't make Screenshout in this app, please made modification",negative,0.9966920614242554,"app, good, good app, nice, cbe"
Best app I loved it,positive,0.999849796295166,"app, good, good app, nice, cbe"
nice app,positive,0.9998061060905457,"app, good, good app, nice, cbe"
wow,positive,0.999592125415802,"app, good, good app, nice, cbe"
Amazing applicatiom sometimes doesnt work!,negative,0.6448812484741211,"app, good, good app, nice, cbe"
well satisfied with this beautiful app,positive,0.9998588562011719,"app, good, good app, nice, cbe"
very good,positive,0.9998520612716675,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
best app.,positive,0.999774158000946,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
"not working,why???",negative,0.9995881915092468,"app, good, good app, nice, cbe"
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,negative,0.9841780066490173,"app, good, good app, nice, cbe"
excellent,positive,0.9998434782028198,"excellent, excellent app, excellent service, app, service"
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,negative,0.9996201992034912,"app, good, good app, nice, cbe"
woxe harimo ribiso,negative,0.9374371767044067,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
"Good ,easy to use",positive,0.9998592138290405,"app, good, good app, nice, cbe"
Good app,positive,0.9998493194580078,"app, good, good app, nice, cbe"
Good job👍,positive,0.9998576641082764,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
nice,positive,0.9998552799224854,"app, good, good app, nice, cbe"
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",positive,0.9939066767692566,"app, good, good app, nice, cbe"
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,negative,0.947411835193634,"app, good, good app, nice, cbe"
customer service is bad nothing is good about this bank,negative,0.9996613264083862,"app, good, good app, nice, cbe"
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,negative,0.992915153503418,"app, good, good app, nice, cbe"
fast and simple easy to use 👌,positive,0.9984942674636841,"app, good, good app, nice, cbe"
The fastest transferring app I ever had its so reliable,positive,0.9844427704811096,"app, good, good app, nice, cbe"
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",negative,0.9986681938171387,"app, good, good app, nice, cbe"
it's easy and fast,positive,0.9995684027671814,"app, good, good app, nice, cbe"
This app don't have self activation only you have to look near cbe branch that's disgusting,negative,0.9960438013076782,"app, good, good app, nice, cbe"
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,positive,0.999572217464447,"app, good, good app, nice, cbe"
wow best application ever,positive,0.9997984766960144,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",negative,0.9997019171714783,"app, good, good app, nice, cbe"
Best,positive,0.9997941851615906,"app, good, good app, nice, cbe"
the pride of Ethiopian bank 🏦,positive,0.999118983745575,"app, good, good app, nice, cbe"
why the app telling me to turn of developer options please fix it.,negative,0.9990994930267334,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,positive,0.9976927042007446,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
amazing apps,positive,0.9998716115951538,"app, good, good app, nice, cbe"
All service of Mobile Banking,positive,0.8924251198768616,"app, good, good app, nice, cbe"
needs improvement,negative,0.9966731071472168,"app, good, good app, nice, cbe"
i miss the old one i couldn't send my mony to other bank..,negative,0.995843231678009,"app, good, good app, nice, cbe"
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,negative,0.9984410405158997,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
good but these week not oky,negative,0.955415666103363,"app, good, good app, nice, cbe"
well designed! Fixing bugs & two step verification with biometric... simply it's great!,positive,0.9998049139976501,"app, good, good app, nice, cbe"
Good app,positive,0.9998493194580078,"app, good, good app, nice, cbe"
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,negative,0.9975224137306213,"app, good, good app, nice, cbe"
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",positive,0.8991119265556335,"app, good, good app, nice, cbe"
CBE mobilr bankg,positive,0.8703056573867798,"app, good, good app, nice, cbe"
wow,positive,0.999592125415802,"app, good, good app, nice, cbe"
verygood,positive,0.9988996982574463,"app, good, good app, nice, cbe"
ممتاز جدا,negative,0.8031745553016663,"app, good, good app, nice, cbe"
it's very low quality application,negative,0.9996594190597534,"app, good, good app, nice, cbe"
Very Amazing Apps,positive,0.9998774528503418,"app, good, good app, nice, cbe"
አዛ,negative,0.6970565915107727,"app, good, good app, nice, cbe"
wow simple life,positive,0.9997076392173767,"app, good, good app, nice, cbe"
it's nice,positive,0.9998672008514404,"app, good, good app, nice, cbe"
Why stacked sometimes,negative,0.9941052198410034,"app, good, good app, nice, cbe"
good app,positive,0.9998493194580078,"app, good, good app, nice, cbe"
nice,positive,0.9998552799224854,"app, good, good app, nice, cbe"
okay 👍 but sometimes busy,negative,0.8515542149543762,"app, good, good app, nice, cbe"
the worst commercial company that fails to do even the most normal things again and and again.,negative,0.9997990727424622,"app, good, good app, nice, cbe"
Very good app. but disappointed by general cessation of system.,negative,0.9981188178062439,"app, good, good app, nice, cbe"
excellent,positive,0.9998434782028198,"excellent, excellent app, excellent service, app, service"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
Good and fast,positive,0.9998561143875122,"app, good, good app, nice, cbe"
Unreliable!,negative,0.9997379183769226,"app, good, good app, nice, cbe"
Best the best fast,positive,0.9998427629470825,"app, good, good app, nice, cbe"
good app,positive,0.9998493194580078,"app, good, good app, nice, cbe"
happy,positive,0.9998753070831299,"app, good, good app, nice, cbe"
fast and reliable,positive,0.9998595714569092,"app, good, good app, nice, cbe"
network errorrrrrr,negative,0.9978076815605164,"app, good, good app, nice, cbe"
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,negative,0.9982808828353882,"app, good, good app, nice, cbe"
its good and simple to use,positive,0.9998610019683838,"app, good, good app, nice, cbe"
worest app like that bank for security and network access,negative,0.9927296042442322,"app, good, good app, nice, cbe"
it's the best app i,positive,0.999834418296814,"app, good, good app, nice, cbe"
not bad not good,negative,0.9715350866317749,"app, good, good app, nice, cbe"
its very nice,positive,0.9998526573181152,"app, good, good app, nice, cbe"
do not work this week,negative,0.9977602958679199,"app, good, good app, nice, cbe"
It crashes frequently,negative,0.9993256330490112,"app, good, good app, nice, cbe"
the best,positive,0.9998332262039185,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
"I can simply describe this app as ""Making all your work easier"".",positive,0.8382593393325806,"app, good, good app, nice, cbe"
goid,negative,0.7086994647979736,"app, good, good app, nice, cbe"
best appearance,positive,0.9996986389160156,"app, good, good app, nice, cbe"
it's very good 👍 app,positive,0.999859094619751,"app, good, good app, nice, cbe"
abinet kutafo,positive,0.9704495072364807,"app, good, good app, nice, cbe"
I need support you,negative,0.9881443977355957,"app, good, good app, nice, cbe"
the worst Mobile banking i have ever seen in my life,negative,0.9997807145118713,"app, good, good app, nice, cbe"
Nuree mahamud,positive,0.95653235912323,"app, good, good app, nice, cbe"
super,positive,0.998783528804779,"app, good, good app, nice, cbe"
ጠጀጨገጀ።ጀገ,negative,0.8337252736091614,"app, good, good app, nice, cbe"
i like the app,positive,0.9994398951530457,"like, like app, app, add, የምንፈልገዉ ነገር"
the Best,positive,0.9998332262039185,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
nice,positive,0.9998552799224854,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
to other bank is bad,negative,0.9997149109840393,"app, good, good app, nice, cbe"
tank's,negative,0.9855976700782776,"app, good, good app, nice, cbe"
its good but add more features such like. bank statement showing,positive,0.9881665110588074,"app, good, good app, nice, cbe"
it is so nice,positive,0.9998714923858643,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
Very Good👍,positive,0.8243637084960938,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",negative,0.9995972514152527,"app, good, good app, nice, cbe"
"wow, amazing app",positive,0.9998503923416138,"app, good, good app, nice, cbe"
use ful,negative,0.9949980974197388,"app, good, good app, nice, cbe"
Great app,positive,0.999821126461029,"app, good, good app, nice, cbe"
well app,positive,0.9993765950202942,"app, good, good app, nice, cbe"
Actually it is inactive,negative,0.9996483325958252,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
best app,positive,0.999686598777771,"app, good, good app, nice, cbe"
amazing,positive,0.999875545501709,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
I like,positive,0.9998149275779724,"like, like app, app, add, የምንፈልገዉ ነገር"
"slow, only one account is used",negative,0.9997527003288269,"slow, account, add, የምንፈልገዉ ነገር, abinet kutafo"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
always CBE is the leading Commercial Bank💪💪💪,positive,0.9975135326385498,"app, good, good app, nice, cbe"
i like it,positive,0.9998593330383301,"like, like app, app, add, የምንፈልገዉ ነገር"
why removing screenshot feature why?,negative,0.9981147050857544,"app, good, good app, nice, cbe"
nice apps where network is good in connection,positive,0.9994925260543823,"app, good, good app, nice, cbe"
Thank you!!!,positive,0.9998666048049927,"app, good, good app, nice, cbe"
i can't take screenshot,negative,0.9897894263267517,"app, good, good app, nice, cbe"
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",negative,0.9861215949058533,"app, good, good app, nice, cbe"
perfectly special,positive,0.999879002571106,"app, good, good app, nice, cbe"
Fast and Reliable,positive,0.9998595714569092,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
The best application I have ever seen in Ethiopia banking industry.,positive,0.9997448325157166,"app, good, good app, nice, cbe"
great app!!!,positive,0.9998501539230347,"app, good, good app, nice, cbe"
because sometimes it doesn't working it load too much,negative,0.9911932349205017,"app, good, good app, nice, cbe"
"Absolutely the best app! It works flawlessly, anytime and anywhere.",positive,0.9998784065246582,"app, good, good app, nice, cbe"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
very nice app ever!!!,positive,0.999826967716217,"app, good, good app, nice, cbe"
the best app,positive,0.9998469352722168,"app, good, good app, nice, cbe"
Biometric security for mobile banking is not available,negative,0.9996340274810791,"app, good, good app, nice, cbe"
great,positive,0.9998630285263062,"app, good, good app, nice, cbe"
Nice service,positive,0.9998397827148438,"app, good, good app, nice, cbe"
great app,positive,0.999821126461029,"app, good, good app, nice, cbe"
it's special apps,positive,0.9995416402816772,"app, good, good app, nice, cbe"
"In the updated version of the app, it takes more time to download the receipt.",negative,0.9985652565956116,"app, good, good app, nice, cbe"
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,negative,0.9647620320320129,"app, good, good app, nice, cbe"
Good 🔥,positive,0.9998576641082764,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
very interesting app i am using every day fantastic,positive,0.9998443126678467,"app, good, good app, nice, cbe"
lebaa bank,negative,0.9437296390533447,"app, good, good app, nice, cbe"
Can't scan/recognize other banks' Interoperable QR Codes,negative,0.9983273148536682,"app, good, good app, nice, cbe"
OK,positive,0.9997851252555847,"app, good, good app, nice, cbe"
grateful app,positive,0.9998038411140442,"app, good, good app, nice, cbe"
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,positive,0.9974650144577026,"app, good, good app, nice, cbe"
everthing wellbeok,negative,0.7055779695510864,"app, good, good app, nice, cbe"
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",negative,0.9963226318359375,"app, good, good app, nice, cbe"
nice app 👌,positive,0.9996724128723145,"app, good, good app, nice, cbe"
why did this app is not screenshot,negative,0.9989493489265442,"app, good, good app, nice, cbe"
it so good app,positive,0.999868631362915,"app, good, good app, nice, cbe"
the best app,positive,0.9998469352722168,"app, good, good app, nice, cbe"
جميل,positive,0.9271727204322815,"app, good, good app, nice, cbe"
"less network, specially to make fee for utility purpose",negative,0.994688868522644,"app, good, good app, nice, cbe"
nice,positive,0.9998552799224854,"app, good, good app, nice, cbe"
simply for used,negative,0.9918004870414734,"app, good, good app, nice, cbe"
wow keep up,positive,0.9998539686203003,"app, good, good app, nice, cbe"
its great app but when updating we can't take screen shot please try to fix it,negative,0.9934490323066711,"app, good, good app, nice, cbe"
good one,positive,0.9998288154602051,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
best app.,positive,0.999774158000946,"app, good, good app, nice, cbe"
everything is easy thank you cebe,positive,0.9998396635055542,"app, good, good app, nice, cbe"
ፈጣን ቀልጣፋ,negative,0.7850590348243713,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
ok,positive,0.9997851252555847,"app, good, good app, nice, cbe"
ጎበዝ,negative,0.6970565915107727,"app, good, good app, nice, cbe"
good app,positive,0.9998493194580078,"app, good, good app, nice, cbe"
but this app says can't sync,negative,0.9988365769386292,"app, good, good app, nice, cbe"
waw,negative,0.7346178889274597,"app, good, good app, nice, cbe"
to slow,negative,0.9994872808456421,"slow, account, add, የምንፈልገዉ ነገር, abinet kutafo"
work on screen shot system,negative,0.5902671217918396,"app, good, good app, nice, cbe"
very very nice aplication,positive,0.9998292922973633,"app, good, good app, nice, cbe"
Good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
wonder full and it is easy to use,positive,0.9996142387390137,"app, good, good app, nice, cbe"
easy and reliable,positive,0.9998584985733032,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
it is Very Useful app 👍,positive,0.994536280632019,"app, good, good app, nice, cbe"
very good,positive,0.9998520612716675,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
perfect app,positive,0.9998340606689453,"app, good, good app, nice, cbe"
I like it.,positive,0.9998694658279419,"like, like app, app, add, የምንፈልገዉ ነገር"
bugs,negative,0.9988303780555725,"app, good, good app, nice, cbe"
commerial Bank,negative,0.6810258030891418,"app, good, good app, nice, cbe"
Genat biru,negative,0.966159999370575,"app, good, good app, nice, cbe"
🙏,negative,0.6970565915107727,"app, good, good app, nice, cbe"
it is good but it doesn't allow screen shot,positive,0.6723125576972961,"app, good, good app, nice, cbe"
the best one,positive,0.9998371601104736,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
You need to copy many things from other bank apps like Amole(Dashen),negative,0.9967620372772217,"app, good, good app, nice, cbe"
bring back the screenshot feature.,positive,0.9942916631698608,"app, good, good app, nice, cbe"
Good!👍,positive,0.9998579025268555,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
best app to experience him that to smooth transaction among the customers,positive,0.9985142350196838,"app, good, good app, nice, cbe"
good,positive,0.9998161196708679,"good, add, የምንፈልገዉ ነገር, abinet kutafo, ይደርሳል"
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,negative,0.9551454782485962,"app, good, good app, nice, cbe"
easy to use,positive,0.9988542795181274,"app, good, good app, nice, cbe"
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",positive,0.9998189806938171,"app, good, good app, nice, cbe"
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,negative,0.881923258304596,"app, good, good app, nice, cbe"
