review,rating,date,bank,source,cleaned_review,theme_cluster
good job,5,2025-05-26,Combanketh,Google Play,good job,4
Good,5,2025-05-25,Combanketh,Google Play,good,3
it's awesome!!,5,2025-05-25,Combanketh,Google Play,awesome,4
best,5,2025-05-25,Combanketh,Google Play,well,4
thankyou every one,5,2025-05-25,Combanketh,Google Play,thankyou,4
best app,5,2025-05-25,Combanketh,Google Play,good app,3
Ronaldo 🇵🇹 🥇,5,2025-05-25,Combanketh,Google Play,ronaldo,4
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Combanketh,Google Play,app absolutely fantastic love enjoy let support foundation,4
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Combanketh,Google Play,cbe app highly unreliable recent week frequently fail work properly ethio telecom safaricom network mobile datum week system entirely extended period make difficult access banking service app function intermittently lack consistency frustrating hope issue address soon non technical influence remove essential service,4
mortuary app,5,2025-05-25,Combanketh,Google Play,mortuary app,4
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Combanketh,Google Play,smart app stop period time device reason,4
amazing app I am used this app for one year,4,2025-05-24,Combanketh,Google Play,amazing app app year,4
👍,5,2025-05-24,Combanketh,Google Play,,4
good app,5,2025-05-24,Combanketh,Google Play,good app,3
i love it 😍😘,5,2025-05-24,Combanketh,Google Play,love,4
It makes life easy!👌,5,2025-05-24,Combanketh,Google Play,make life easy,4
its not fast,1,2025-05-24,Combanketh,Google Play,fast,4
wow,4,2025-05-24,Combanketh,Google Play,wow,4
it is sooo good,5,2025-05-24,Combanketh,Google Play,sooo good,4
excellent,5,2025-05-24,Combanketh,Google Play,excellent,4
ok,1,2025-05-24,Combanketh,Google Play,,4
Fantastic,5,2025-05-23,Combanketh,Google Play,fantastic,4
accessible to using,5,2025-05-23,Combanketh,Google Play,accessible,4
I like it,4,2025-05-23,Combanketh,Google Play,like,4
good,5,2025-05-23,Combanketh,Google Play,good,3
why you change default network?,5,2025-05-23,Combanketh,Google Play,change default network,4
very nice 👍,5,2025-05-23,Combanketh,Google Play,nice,4
nice fast app,5,2025-05-23,Combanketh,Google Play,nice fast app,4
best,5,2025-05-23,Combanketh,Google Play,well,4
how to I get my money,5,2025-05-23,Combanketh,Google Play,money,2
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Combanketh,Google Play,bad load need improve service,4
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Combanketh,Google Play,good app reliable crash,4
very busy I don't know why... I prefer 889,3,2025-05-22,Combanketh,Google Play,busy know prefer,4
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Combanketh,Google Play,nasty lag hour fix rest,4
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Combanketh,Google Play,boring mobil banking application use alternative private bank mobile banking app,4
hojii bonsaadha,5,2025-05-22,Combanketh,Google Play,hojii bonsaadha,4
ok,5,2025-05-22,Combanketh,Google Play,,4
user-friendly apps.because this app is easy.,5,2025-05-22,Combanketh,Google Play,user friendly app easy,4
Awosome!!!,5,2025-05-22,Combanketh,Google Play,awosome,4
"Very good app,",5,2025-05-22,Combanketh,Google Play,good app,3
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Combanketh,Google Play,sync problem date stack help pls,4
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Combanketh,Google Play,መተግበሪያ በጣም app nice,4
I hate this app 😒,1,2025-05-22,Combanketh,Google Play,hate app,4
trustful,5,2025-05-22,Combanketh,Google Play,trustful,4
I like,5,2025-05-22,Combanketh,Google Play,like,4
update issue,4,2025-05-22,Combanketh,Google Play,update issue,4
its not working over safari network,1,2025-05-22,Combanketh,Google Play,work safari network,4
oldie,1,2025-05-22,Combanketh,Google Play,oldie,4
it doesn't work,1,2025-05-21,Combanketh,Google Play,work,4
best,5,2025-05-21,Combanketh,Google Play,well,4
"This app is good, and we are using it well",1,2025-05-21,Combanketh,Google Play,app good,4
ok,5,2025-05-21,Combanketh,Google Play,,4
best app,5,2025-05-21,Combanketh,Google Play,good app,3
very nice 👌 app for android phone,5,2025-05-21,Combanketh,Google Play,nice app android phone,4
good app,5,2025-05-21,Combanketh,Google Play,good app,3
Yes Yes,5,2025-05-21,Combanketh,Google Play,yes yes,4
በጣም ከርፋፋ,1,2025-05-21,Combanketh,Google Play,በጣም ከርፋፋ,4
easy to use helpful in my life,5,2025-05-21,Combanketh,Google Play,easy use helpful life,4
good 👍,4,2025-05-21,Combanketh,Google Play,good,3
the best mobile banking app,5,2025-05-21,Combanketh,Google Play,good mobile banking app,4
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Combanketh,Google Play,app useful app save time secure,4
ok,2,2025-05-21,Combanketh,Google Play,,4
it's a good application 👍,5,2025-05-21,Combanketh,Google Play,good application,4
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,Combanketh,Google Play,screenshot reffresh option annoying make transaction delay activity,4
poor service,1,2025-05-21,Combanketh,Google Play,poor service,4
amazing,5,2025-05-20,Combanketh,Google Play,amazing,4
it is reliable and easy to use.,5,2025-05-20,Combanketh,Google Play,reliable easy use,4
the most annoying mobile banking app I've ever seen,1,2025-05-20,Combanketh,Google Play,annoying mobile banking app see,4
Eliasmels,5,2025-05-20,Combanketh,Google Play,eliasmel,4
Cbe mobile banking,5,2025-05-20,Combanketh,Google Play,cbe mobile banking,4
"i can't make Screenshout in this app, please made modification",5,2025-05-20,Combanketh,Google Play,screenshout app modification,4
Best app I loved it,5,2025-05-19,Combanketh,Google Play,good app love,4
nice app,5,2025-05-19,Combanketh,Google Play,nice app,4
wow,5,2025-05-18,Combanketh,Google Play,wow,4
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Combanketh,Google Play,amazing applicatiom work,4
well satisfied with this beautiful app,5,2025-05-18,Combanketh,Google Play,satisfied beautiful app,4
very good,4,2025-05-17,Combanketh,Google Play,good,3
best app.,5,2025-05-17,Combanketh,Google Play,good app,3
good,5,2025-05-17,Combanketh,Google Play,good,3
"not working,why???",5,2025-05-17,Combanketh,Google Play,work,4
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,Combanketh,Google Play,great impact developer option turnoff fix,4
excellent,5,2025-05-17,Combanketh,Google Play,excellent,4
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Combanketh,Google Play,disappointing especially ios similar local application extremely superior application disappointing,4
woxe harimo ribiso,5,2025-05-17,Combanketh,Google Play,woxe harimo ribiso,4
good,5,2025-05-16,Combanketh,Google Play,good,3
"Good ,easy to use",5,2025-05-16,Combanketh,Google Play,good easy use,4
Good app,5,2025-05-15,Combanketh,Google Play,good app,3
Good job👍,5,2025-05-14,Combanketh,Google Play,good job,4
good,5,2025-05-14,Combanketh,Google Play,good,3
nice,5,2025-05-14,Combanketh,Google Play,nice,4
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,Combanketh,Google Play,kindly ask update app allow screenshot convenient efficient long add security access reason block screenshoote screen,4
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Combanketh,Google Play,cbe mobile banking app overall appreciate feutere nottice turn developer option divice function prorerly great look issue need access developer set otter application thankyou attention matter,4
customer service is bad nothing is good about this bank,1,2025-05-13,Combanketh,Google Play,customer service bad good bank,4
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Combanketh,Google Play,amazing mobile banking app screenshot receipt work,4
fast and simple easy to use 👌,5,2025-05-12,Combanketh,Google Play,fast simple easy use,4
The fastest transferring app I ever had its so reliable,5,2025-05-11,Combanketh,Google Play,fast transferring app reliable,4
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Combanketh,Google Play,fund transfer bank reflect account confirmation text message receive,4
it's easy and fast,5,2025-05-10,Combanketh,Google Play,easy fast,4
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,Combanketh,Google Play,app self activation look near cbe branch disgusting,4
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Combanketh,Google Play,hello dearest cbe office personnel benefit interest free account thank help,4
wow best application ever,5,2025-05-09,Combanketh,Google Play,wow good application,4
good,5,2025-05-09,Combanketh,Google Play,good,3
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Combanketh,Google Play,sorry developer mode application hack sure developer stupid make sense,4
Best,4,2025-05-08,Combanketh,Google Play,well,4
the pride of Ethiopian bank 🏦,5,2025-05-08,Combanketh,Google Play,pride ethiopian bank,4
why the app telling me to turn of developer options please fix it.,1,2025-05-07,Combanketh,Google Play,app tell turn developer option fix,4
good,5,2025-05-07,Combanketh,Google Play,good,3
ok,5,2025-05-07,Combanketh,Google Play,,4
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,Combanketh,Google Play,happy small prob transfer transfer cashe bil dic,4
good,3,2025-05-06,Combanketh,Google Play,good,3
amazing apps,5,2025-05-06,Combanketh,Google Play,amazing app,4
All service of Mobile Banking,5,2025-05-06,Combanketh,Google Play,service mobile banking,4
needs improvement,1,2025-05-06,Combanketh,Google Play,need improvement,4
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,Combanketh,Google Play,miss old send mony bank,4
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Combanketh,Google Play,app recently crush time open try transfer good lesson dashen super app ethiotelecom befit experience glory make friendly convenient consider leave cbe good,4
good,5,2025-05-06,Combanketh,Google Play,good,3
good but these week not oky,4,2025-05-06,Combanketh,Google Play,good week oky,4
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Combanketh,Google Play,design fix bug step verification biometric simply great,4
Good app,5,2025-05-06,Combanketh,Google Play,good app,3
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Combanketh,Google Play,developer read fix screenshot functionality download button work flawlessly touch time,4
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,Combanketh,Google Play,great thing place transfer bank face like mobile charge card place,4
CBE mobilr bankg,5,2025-05-05,Combanketh,Google Play,cbe mobilr bankg,4
wow,1,2025-05-05,Combanketh,Google Play,wow,4
verygood,3,2025-05-05,Combanketh,Google Play,verygood,4
ممتاز جدا,5,2025-05-04,Combanketh,Google Play,ممتاز جدا,4
it's very low quality application,1,2025-05-04,Combanketh,Google Play,low quality application,4
Very Amazing Apps,5,2025-05-04,Combanketh,Google Play,amazing app,4
አዛ,1,2025-05-04,Combanketh,Google Play,,4
wow simple life,5,2025-05-04,Combanketh,Google Play,wow simple life,4
it's nice,5,2025-05-03,Combanketh,Google Play,nice,4
Why stacked sometimes,5,2025-05-03,Combanketh,Google Play,stack,4
good app,5,2025-05-03,Combanketh,Google Play,good app,3
nice,5,2025-05-03,Combanketh,Google Play,nice,4
okay 👍 but sometimes busy,1,2025-05-03,Combanketh,Google Play,okay busy,4
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,Combanketh,Google Play,bad commercial company fail normal thing,4
Very good app. but disappointed by general cessation of system.,5,2025-05-02,Combanketh,Google Play,good app disappoint general cessation system,4
excellent,5,2025-05-02,Combanketh,Google Play,excellent,4
good,5,2025-05-02,Combanketh,Google Play,good,3
Good and fast,5,2025-05-02,Combanketh,Google Play,good fast,4
Unreliable!,1,2025-05-02,Combanketh,Google Play,unreliable,4
Best the best fast,5,2025-05-02,Combanketh,Google Play,well good fast,4
good app,5,2025-05-02,Combanketh,Google Play,good app,3
happy,5,2025-05-02,Combanketh,Google Play,happy,4
fast and reliable,5,2025-05-02,Combanketh,Google Play,fast reliable,4
network errorrrrrr,2,2025-05-02,Combanketh,Google Play,network errorrrrrr,4
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,Combanketh,Google Play,good app problem send money telebirr mpesa add use,2
its good and simple to use,5,2025-05-02,Combanketh,Google Play,good simple use,4
worest app like that bank for security and network access,1,2025-05-02,Combanketh,Google Play,wor app like bank security network access,4
it's the best app i,5,2025-05-02,Combanketh,Google Play,good app,3
not bad not good,1,2025-05-02,Combanketh,Google Play,bad good,1
its very nice,5,2025-05-02,Combanketh,Google Play,nice,4
do not work this week,3,2025-04-30,Combanketh,Google Play,work week,4
It crashes frequently,4,2025-04-30,Combanketh,Google Play,crash frequently,4
the best,5,2025-04-28,Combanketh,Google Play,good,3
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,Combanketh,Google Play,simply describe app make work easy,4
goid,5,2025-04-28,Combanketh,Google Play,goid,4
best appearance,5,2025-04-27,Combanketh,Google Play,good appearance,4
it's very good 👍 app,5,2025-04-27,Combanketh,Google Play,good app,3
abinet kutafo,1,2025-04-27,Combanketh,Google Play,abinet kutafo,4
I need support you,5,2025-04-27,Combanketh,Google Play,need support,4
the worst Mobile banking i have ever seen in my life,1,2025-04-26,Combanketh,Google Play,bad mobile banking see life,4
Nuree mahamud,5,2025-04-26,Combanketh,Google Play,nuree mahamud,4
super,5,2025-04-26,Combanketh,Google Play,super,4
ጠጀጨገጀ።ጀገ,5,2025-04-26,Combanketh,Google Play,,4
i like the app,5,2025-04-26,Combanketh,Google Play,like app,4
the Best,1,2025-04-26,Combanketh,Google Play,good,3
nice,5,2025-04-26,Combanketh,Google Play,nice,4
good,5,2025-04-26,Combanketh,Google Play,good,3
good,5,2025-04-25,Combanketh,Google Play,good,3
to other bank is bad,1,2025-04-25,Combanketh,Google Play,bank bad,1
tank's,5,2025-04-25,Combanketh,Google Play,tank,4
its good but add more features such like. bank statement showing,5,2025-04-24,Combanketh,Google Play,good add feature like bank statement show,4
it is so nice,5,2025-04-24,Combanketh,Google Play,nice,4
good,5,2025-04-21,Combanketh,Google Play,good,3
Very Good👍,5,2025-04-21,Combanketh,Google Play,good,3
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,Combanketh,Google Play,frequent experience cbe app critical time failure suspend payment air day zero explanation deduct sender account deposit receiver act fatal error bank company app force banking corporation consent employer user correspond corporation,4
"wow, amazing app",5,2025-04-21,Combanketh,Google Play,wow amazing app,4
use ful,5,2025-04-21,Combanketh,Google Play,use ful,4
Great app,5,2025-04-21,Combanketh,Google Play,great app,4
well app,5,2025-04-20,Combanketh,Google Play,app,4
Actually it is inactive,4,2025-04-19,Combanketh,Google Play,actually inactive,4
good,4,2025-04-19,Combanketh,Google Play,good,3
ok,2,2025-04-19,Combanketh,Google Play,,4
best app,5,2025-04-19,Combanketh,Google Play,good app,3
amazing,1,2025-04-19,Combanketh,Google Play,amazing,4
good,5,2025-04-19,Combanketh,Google Play,good,3
I like,5,2025-04-19,Combanketh,Google Play,like,4
"slow, only one account is used",2,2025-04-19,Combanketh,Google Play,slow account,4
ok,5,2025-04-19,Combanketh,Google Play,,4
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,Combanketh,Google Play,cbe lead commercial bank,4
i like it,5,2025-04-18,Combanketh,Google Play,like,4
why removing screenshot feature why?,1,2025-04-18,Combanketh,Google Play,remove screenshot feature,4
nice apps where network is good in connection,5,2025-04-18,Combanketh,Google Play,nice app network good connection,4
Thank you!!!,5,2025-04-18,Combanketh,Google Play,thank,4
i can't take screenshot,1,2025-04-18,Combanketh,Google Play,screenshot,4
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,Combanketh,Google Play,update system well well march update allow screenshot guy understand quick significant thing add extra step make process draw,4
perfectly special,5,2025-04-18,Combanketh,Google Play,perfectly special,4
Fast and Reliable,5,2025-04-18,Combanketh,Google Play,fast reliable,4
good,5,2025-04-17,Combanketh,Google Play,good,3
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,Combanketh,Google Play,good application see ethiopia banking industry,4
great app!!!,5,2025-04-17,Combanketh,Google Play,great app,4
because sometimes it doesn't working it load too much,3,2025-04-17,Combanketh,Google Play,work load,4
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,Combanketh,Google Play,absolutely good app work flawlessly anytime,4
ok,3,2025-04-16,Combanketh,Google Play,,4
very nice app ever!!!,5,2025-04-16,Combanketh,Google Play,nice app,4
the best app,5,2025-04-16,Combanketh,Google Play,good app,3
Biometric security for mobile banking is not available,5,2025-04-16,Combanketh,Google Play,biometric security mobile banking available,4
great,5,2025-04-15,Combanketh,Google Play,great,4
Nice service,5,2025-04-15,Combanketh,Google Play,nice service,4
great app,5,2025-04-15,Combanketh,Google Play,great app,4
it's special apps,5,2025-04-15,Combanketh,Google Play,special app,4
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,Combanketh,Google Play,update version app take time download receipt,4
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,Combanketh,Google Play,ለምንድነው ትራንዛክሽን ትንሽ የሚያሳየው,4
Good 🔥,5,2025-04-14,Combanketh,Google Play,good,3
very interesting app i am using every day fantastic,5,2025-04-14,Combanketh,Google Play,interesting app day fantastic,4
lebaa bank,5,2025-04-14,Combanketh,Google Play,lebaa bank,4
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,Combanketh,Google Play,scan recognize bank interoperable code,4
OK,5,2025-04-13,Combanketh,Google Play,,4
grateful app,5,2025-04-13,Combanketh,Google Play,grateful app,4
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,Combanketh,Google Play,,4
everthing wellbeok,3,2025-04-13,Combanketh,Google Play,everthe wellbeok,4
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,Combanketh,Google Play,mobile banking app fast user friendly issue encounter access bank statement app kindly request feature add similar offer private bank mobile banking app,4
nice app 👌,5,2025-04-12,Combanketh,Google Play,nice app,4
why did this app is not screenshot,5,2025-04-12,Combanketh,Google Play,app screenshot,4
it so good app,5,2025-04-12,Combanketh,Google Play,good app,3
the best app,3,2025-04-12,Combanketh,Google Play,good app,3
جميل,5,2025-04-11,Combanketh,Google Play,جميل,4
"less network, specially to make fee for utility purpose",1,2025-04-11,Combanketh,Google Play,network specially fee utility purpose,4
nice,5,2025-04-11,Combanketh,Google Play,nice,4
simply for used,4,2025-04-11,Combanketh,Google Play,simply,4
wow keep up,5,2025-04-10,Combanketh,Google Play,wow,4
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,Combanketh,Google Play,great app update screen shot try fix,4
good one,5,2025-04-10,Combanketh,Google Play,good,3
best app.,5,2025-04-10,Combanketh,Google Play,good app,3
everything is easy thank you cebe,5,2025-04-10,Combanketh,Google Play,easy thank cebe,4
ፈጣን ቀልጣፋ,5,2025-04-10,Combanketh,Google Play,ፈጣን ቀልጣፋ,4
good,5,2025-04-10,Combanketh,Google Play,good,3
ok,5,2025-04-10,Combanketh,Google Play,,4
ጎበዝ,5,2025-04-09,Combanketh,Google Play,ጎበዝ,4
good app,5,2025-04-09,Combanketh,Google Play,good app,3
but this app says can't sync,5,2025-04-09,Combanketh,Google Play,app say sync,4
waw,5,2025-04-09,Combanketh,Google Play,waw,4
to slow,3,2025-04-09,Combanketh,Google Play,slow,4
work on screen shot system,4,2025-04-08,Combanketh,Google Play,work screen shot system,4
very very nice aplication,1,2025-04-08,Combanketh,Google Play,nice aplication,4
Good,5,2025-04-08,Combanketh,Google Play,good,3
wonder full and it is easy to use,5,2025-04-08,Combanketh,Google Play,wonder easy use,4
easy and reliable,2,2025-04-08,Combanketh,Google Play,easy reliable,4
good,5,2025-04-08,Combanketh,Google Play,good,3
it is Very Useful app 👍,5,2025-04-07,Combanketh,Google Play,useful app,4
very good,5,2025-04-07,Combanketh,Google Play,good,3
perfect app,5,2025-04-07,Combanketh,Google Play,perfect app,4
I like it.,5,2025-04-07,Combanketh,Google Play,like,4
bugs,3,2025-04-07,Combanketh,Google Play,bug,4
commerial Bank,5,2025-04-06,Combanketh,Google Play,commerial bank,4
Genat biru,2,2025-04-06,Combanketh,Google Play,genat biru,4
🙏,5,2025-04-06,Combanketh,Google Play,,4
it is good but it doesn't allow screen shot,4,2025-04-06,Combanketh,Google Play,good allow screen shot,4
the best one,5,2025-04-06,Combanketh,Google Play,good,3
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,Combanketh,Google Play,need copy thing bank app like,4
bring back the screenshot feature.,1,2025-04-05,Combanketh,Google Play,bring screenshot feature,4
Good!👍,3,2025-04-05,Combanketh,Google Play,good,3
best app to experience him that to smooth transaction among the customers,1,2025-04-05,Combanketh,Google Play,good app experience smooth transaction customer,4
good,5,2025-04-05,Combanketh,Google Play,good,3
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,Combanketh,Google Play,nice app suitable use weak need data connection hoping fix offline give rate,4
easy to use,5,2025-04-05,Combanketh,Google Play,easy use,4
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,Combanketh,Google Play,good job cbe team mobile app design way simple intuitive navigate great effectively handle essential banking task need perform regularly practical reliable tool make everyday banking convenient thank useful application,4
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,Combanketh,Google Play,በጣም ምርጥ screenshot ማረግ ቢቻል ምርጥ ነበር,4
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,Combanketh,Google Play,smooth good time new update screenshot recite downlod button delayed put recite gallery simple proof fix unable proof payment client thankyou,4
cool ❤,4,2025-04-04,Combanketh,Google Play,cool,4
Best app,5,2025-04-04,Combanketh,Google Play,good app,3
